,Column1,NEUE_NAMEN,ADRESSE,Sicherheit,Longitude,Latitude,Quelle,URL
0,0,kaiserlichen Burg,,hoch,16.36580946,48.20687425,Steinhausen Gazetteer,
1,1,kaiserlichen Gruft,"Tegetthoffstraße 2, 1010 Wien",,16.3703930497861,48.207913527909,Google Maps,https://www.google.com/maps/place/data=!4m2!3m1!1s0x476d079eaa0b491b:0x7de4fc82c4ebbbd?sa=X&ved=2ahUKEwi7oPOci6GEAxVTXfEDHYb2BhAQ4kB6BAhAEAA
2,2,Kapuzinerkirche am Neumarkt,"Tegetthoffstraße 2, 1010 Wien",,16.3703930497861,48.207913527909,Google Maps,https://www.google.com/maps/place/data=!4m2!3m1!1s0x476d079eaa0b491b:0x7de4fc82c4ebbbd?sa=X&ved=2ahUKEwi7oPOci6GEAxVTXfEDHYb2BhAQ4kB6BAhAEAA
3,3,Klostergasse,"18., Klostergasse 25(SCHULE)",,16.334169889219616,48.22637943373633,KulturwikiOGD,
4,4,Spitalplatz,"01., heute: Albertinaplatz",hoch,16.369026,48.204306,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Albertinaplatz&language=de&params=48.204306_N_16.369026_E_region:AT-9_type:landmark
5,5,Bürgerspital,"01., Lobkowitzplatz 1",,16.368879199407257,48.20549506608481,KulturwikiOGD,
6,6,Palais Lobkowitz,1010 Wien,,16.368092,48.205575,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Palais_Lobkowitz_(Wien)&language=de&params=48.205575_N_16.368091666667_E_region:AT-9_type:landmark
7,7,Augustinerkirche,"01., Hofburg B Augustinerkloster",,16.368033169080604,48.20518475469686,KulturwikiOGD,
8,8, Zanner,,,,,,
9,9,Josephsplatz,"01., Hofburg B Augustinertrakt",,16.367075752409782,48.2061750322806,KulturwikiOGD,
10,10,ReiterStatue Josephs des II,,,,,,
11,11,. Hofbibliothek,"01., Hofburg B Verwaltertrakt",,16.366580751389964,48.20568957710244,KulturwikiOGD,
12,12,Redoutensäle,"01., Hofburg B Redoutensaaltrakt",,16.366772210964918,48.20681406122795,KulturwikiOGD,
13,13,naturhistorischen Museen,"01., U-Bahn Station Volkstheater STATION",,16.359777242746095,48.20521307344083,KulturwikiOGD,
14,14,kaiserliche Reitschule,,,16.36712305,48.2062919,Steinhausen Gazetteer,
15,15,Michaelerplatze,"01., Michaelerplatz R Römische Ausgrabungen",,16.36665880611845,48.20776975159118,KulturwikiOGD,
16,16,Naturalienmuseum,"evtl. Schulgasse, Nr. 757, nächst dem Universitätsplatze.",,,,,
17,17,Naturalienkabinette,am Josephsplatz,,,,,
18,18,Josephplatzes,"01., Hofburg B Augustinertrakt",,16.367075752409782,48.2061750322806,KulturwikiOGD,
19,19,. Hofbibliothek,"01., Hofburg B Verwaltertrakt",,16.366580751389964,48.20568957710244,KulturwikiOGD,
20,20,Augustinergang,"01., Josefsplatz 5",,16.367342208220037,48.20671806089804,KulturwikiOGD,
21,21,AntikenKabinet,Augustinergang,,,,,
22,22,Mineralien=Kabinet,Augustinergang,,,,,
23,23,Palais des  Erzherzogs Karl,,,,,,
24,24,Privat=Bibliothek und Kupferstich=Sammlung,,,,,,
25,25,Blinden=Jnstitut,"08., Josefstädter Straße 82/2",,16.340427083994616,48.21139324270083,KulturwikiOGD,
26,26,Casino,,,,,,
27,27,Schwan,,,16.37966359,48.21301257,Steinhausen Gazetteer,
28,28,neuen Markt,"01., Neuer Markt vor 4 Tiefgarage",,16.370598191927442,48.20598606221952,16.37067564,48.20601168
29,29,Stadt Frankfurt,,,,,,
30,30,Matschakerhof,"01., Seilergasse 6",,16.370815720748357,48.20749276608932,16.37057772,48.20756581
31,31,Spiegelgasse ,"01., Spiegelgasse 19",,16.36963536910137,48.20659173331869,16.36994274,48.2070418
32,32,Schönbrunn,,,16.37037525,48.21017985,Steinhausen Gazetteer,
33,33,Hietzing,"13., Lainzer Tiergarten T Rasthaus Rohrhaus",,16.232478637179728,48.17769007020311,KulturwikiOGD,
34,34,Mariahilf,"06., Hirschengasse 15",,16.347520484051735,48.19429221175354,KulturwikiOGD,
35,35,Palais Esterhazy,"Wallnerstraße 4, 1010 Wien",,16.3666164995723,48.2114598114309,Google Maps,"https://www.google.com/maps/place/Palais+Esterh%C3%A1zy/@48.1787904,16.3741696,13z/data=!4m14!1m7!3m6!1s0x476d07986bd0ac4b:0xf05b0a83fac06de3!2sPalais+Esterh%C3%A1zy!8m2!3d48.2096444!4d16.3670503!16s%2Fg%2F121v7b3r!3m5!1s0x476d07986bd0ac4b:0xf05b0a83fac06de3!8m2!3d48.2096444!4d16.3670503!16s%2Fg%2F121v7b3r?entry=ttu"
36,36,Fünfhaus,1150 Wien,,16.333333,48.2,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=F%C3%BCnfhaus&language=de&params=48.2_N_16.333333333333_E_region:AT-9_type:city(20000)
37,37,Braunhirschen,"15., Braunhirschengasse 50",,16.326380169459746,48.19038779841735,16.35325624,48.20675983
38,38,Rustendorf,"15., Mariahilfer Straße 217A/2",,16.32431239576214,48.19056816512579,KulturwikiOGD,
39,39,Schönbrunn,,,16.37037525,48.21017985,Steinhausen Gazetteer,
40,40,Orangerie,,,16.316667,48.185,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Orangerie_(Wien-Sch%C3%B6nbrunn)&language=de&params=48.185_N_16.316666666667_E_region:AT-9_type:landmark
41,41,Tirolerhaus,"Maxingstraße 13 b, 1130 Wien",,16.3035074045084,48.1842569279694,Google Maps,https://www.google.com/maps/place/data=!4m2!3m1!1s0x476da7d8bde805bd:0x9f5e6bedce3f7b9a?sa=X&ved=2ahUKEwip7_LsjqGEAxUccvEDHYVsAfsQ4kB6BAgPEAA
42,42,Menagerie,Tiergarten Schönbrunn,,16.3028892360982,48.1826964918256,Google Maps,"https://www.google.com/maps/dir/48.1787904,16.3741696/Tiergarten+sch%C3%B6nbrunn/@48.1839767,16.2956542,14.62z/data=!4m9!4m8!1m1!4e1!1m5!1m1!1s0x476da7e02d944d57:0x3ba676e2856c7190!2m2!1d16.3027845!2d48.1820863?entry=ttu"
43,43,Pflanzengarten,Palmengarten Schönbrunn,,16.302778,48.184722,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Palmenhaus_(Wien-Sch%C3%B6nbrunn)&language=de&params=48.184722222222_N_16.302777777778_E_region:AT-9_type:landmark
44,44,Hietzing,"13., Lainzer Tiergarten T Rasthaus Rohrhaus",,16.232478637179728,48.17769007020311,KulturwikiOGD,
45,45,Villa,,,,,,
46,46,Hügel,,,16.37619219,48.20963202,Steinhausen Gazetteer,
47,47,Dommayers Casino,"13., Hietzinger Hauptstraße NEBEN 10-16 VERKAUFSTAENDE",,16.302556324204915,48.18683982160629,KulturwikiOGD,
48,48,Penzing,"14., Kolbetersteg 1453",,16.23485627273377,48.21625996103188,KulturwikiOGD,
